Company Name,Commodity,ICP Type,Country,City/State,Website,Contact Name,Contact Title,Email,Phone,LinkedIn URL,Source,Priority,Notes
Tradin Organic Agriculture B.V. / Crown of Holland,cocoa,processor,Netherlands,Amsterdam,tradinorganic.com,,,,+31 20 407 4499,,web research,Tier 1,Large organic trader. Crown of Holland is processing arm. Ideal if you have organic certified cocoa. crownofholland.com
CocoaSupply B.V.,cocoa,distributor,Netherlands,Rotterdam,cocoasupply.eu,,,info@cocoasupply.eu,+31 (10) 200 5788,,web research,Tier 1,"Family-owned SME. Serves bakeries, manufacturers, chocolatiers. Open to new origins. Good entry-level European buyer"
ECOM Trading / Dutch Cocoa B.V.,cocoa,importer,Netherlands,Amsterdam,ecomtrading.com,,,,,,web research,Tier 3,"One of world's largest cocoa traders. 800,000 MT/year group volume. Requires established exporter relationships"
OFI (Olam Food Ingredients),cocoa,processor,Netherlands,,ofi.com,,,,,,web research,Tier 3,"Global giant. 1,019,000 MT/year. Approach via supplier registration portal"
Barry Callebaut,cocoa,manufacturer,Belgium,,barry-callebaut.com,,,,,,web research,Tier 3,"World's largest. $7B+ revenue. 988,000 MT/year. Cocoa Horizons program. EUDR compliance critical"
Cargill Cocoa & Chocolate,cocoa,processor,Netherlands,,cargill.com,,,,,,web research,Tier 3,"Multinational commodity giant. 875,000 MT/year"
Ingemann Fine Cocoa,cocoa,importer,Denmark,,ingemannfinecacao.com,,,,,,web research,Tier 2,"Specialty trader, focused on fine flavor"
Uncommon Cacao,cocoa,importer,USA,,uncommoncacao.com,,,,,,web research,Tier 1,Mid-size specialty trader. Publishes annual transparency reports. Significant European sales
Cocoasource,cocoa,importer,Europe,,cocoasource.com,,,,,,web research,Tier 2,Small-medium specialty trader. Fine flavor and specialty cocoa
Pierre Marcolini,cocoa,indie brand,Belgium,,marcolini.be,,,,,,web research,Tier 2,"Luxury craft brand, ~$30M. Premium fine flavor direct from farms"
Michel Cluizel,cocoa,indie brand,France,,cluizel.com,,,,,,web research,Tier 2,Premium French chocolatier. Direct trade focused. Long-standing fine flavor buyer
Bonnat Chocolatier,cocoa,indie brand,France,Voiron,bonnat-chocolatier.com,,,,,,web research,Tier 2,Historic fine chocolatier (est. 1884). Single-origin fine flavor
Palmer's (E.T. Browne Drug Co.),cocoa,manufacturer,USA,"Englewood Cliffs, NJ",palmers.com,,,,,,web research,Tier 3,~$200M revenue. One of largest cocoa butter consumers in cosmetics. Contact via corporate procurement
The Body Shop,cocoa,manufacturer,UK,,thebodyshop.com,,,,,,web research,Tier 3,~$1B revenue. Community Trade preferred. Use supplier portal
Lush Cosmetics,cocoa,manufacturer,UK,,lush.com,,,,,,web research,Tier 3,~$700M revenue. Strict ethical sourcing. Approach via buying department
Jedwards International,cocoa,distributor,USA,"Braintree, MA",bulknaturaloils.com,,,,,,web research,Tier 2,Mid-size wholesale ingredient distributor. Fair Trade and organic cocoa butter
Bata Food B.V.,cocoa,distributor,Netherlands,,batafood.com,,,,,,web research,Tier 2,SME ingredient supplier. Supplies cosmetics and food sectors across Europe
Red River Foods Inc.,cashew,importer,USA,"Richmond, VA",redriverfoods.com,Dan Phipps,CEO,sales@redriverfoods.com,804-320-1800,linkedin.com/company/red-river-foods-group-inc-,ImportYeti,Tier 1,"Largest US cashew importer (39% of US imports, 1,773 shipments). $500M+ revenue. Also buys tree nuts, seeds, dried fruit. 2840 Sprouse Dr, Richmond VA 23231"
American Cashew Company LLC,cashew,importer,USA,"Iselin, NJ",,,,,,,ImportYeti,Tier 1,"2nd largest US cashew importer (14%, 613 shipments). 33 Wood Avenue South, Suite 600, Iselin NJ 08830"
Interra International,cashew,importer,USA,"Alpharetta, GA",interrainternational.com,,,contact@interrainternational.com,+1 (770) 612-8101,,web research,Tier 1,"Major bulk commodity trader. Sources from Ghana, Benin, Nigeria, Ivory Coast, Guinea-Bissau, Gambia, India, Vietnam"
Karma Nuts,cashew,indie brand,USA,,karmanuts.com,Ganesh Nair,Founder,,,,web research,Tier 2,"Premium health brand. MIT background, family cashew legacy. India processing connections"
Nutsco,cashew,indie brand,USA,,nutsco.com,,,,,,web research,Tier 2,Small-medium specialty. Premium/fair trade. Sustainable sourcing mandate
August Topfer & Co. (ATCO),cashew,importer,Germany,Hamburg,atco.de,,,contact@atco.de,+49 (0)40 3 20 03-0,linkedin.com/company/atcogroup,web research,Tier 1,"Leading German nut importer. Est. 1868, EUR500M+ revenue. Owns cashew factory in Vietnam. Also buys RCN. Raboisen 58, 20095 Hamburg"
Jas Trading B.V.,cashew,distributor,Netherlands,Amstelveen,jastrading.com,,,info@jastrading.com,,,web research,Tier 1,40+ years in business (est. 1985). Sources from India and Vietnam. Ideal mid-size European entry point
Intersnack Group,cashew,manufacturer,Germany,Dusseldorf,intersnackgroup.com,,,info@intersnackgroup.com,+49 (0) 211 - 710 65 - 0,linkedin.com/company/intersnack-group-gmbh--co,web research,Tier 1,"EUR2B+ revenue. ~40,000 MT RCN annually. Owns Intersnack Cashew India (Tuticorin). One of largest European cashew buyers"
AF Nuts & Dried Fruits,cashew,distributor,UK,Chelmsford,allnut.com,,,sales@allnut.com,01268 710850,,web research,Tier 2,"UK importer for packers, confectioners, health food distributors"
Aldebaran Commodities,cashew,distributor,Netherlands,,,,,,,,trade directory,Tier 2,CBI-referenced Dutch importer. Specialty nut importer
Zieler & Co.,cashew,importer,Germany,,,,,,,,trade directory,Tier 2,CBI-referenced German cashew importer/wholesaler
MW Nuts,cashew,distributor,Germany,,,,,,,,trade directory,Tier 2,"European broker/agent, 2-4% commission. Connector to retail segment"
Belfrudis,cashew,distributor,Belgium,,belfrudis.be,,,,,,trade directory,Tier 2,Belgian nut broker connecting to retail and processing segments
Intersnack Cashew India Pvt Ltd,cashew,processor,India,"Tuticorin, Tamil Nadu",,,,,,,web research,Tier 1,"Part of Intersnack Group. ~40,000 MT RCN/year from Africa. Also in Rajahmundry"
Alphonsa Cashew Industries,cashew,processor,India,Kerala,alphonsacashew.com,,,,,,web research,Tier 2,"Family-run, est. 1958. Buys RCN from Africa and domestic India"
Mudra Global,cashew,importer,India,,mudraglobal.com,,,,,,web research,Tier 1,"Preferred RCN importer for traders across India. Sources from Ghana, Guinea, Benin, Guinea-Bissau, Ivory Coast"
Sri Saraswathi Cashews,cashew,processor,India,"Panruti, Tamil Nadu",saraswathicashews.com,,,,,,web research,Tier 2,Regional processor/exporter in Cuddalore District
CEPCI (Cashew Export Promotion Council of India),cashew,importer,India,"Kollam, Kerala",cashewindia.org,,,cepci@cashewindia.org,+91 474 2742704,,trade directory,Tier 1,Not a buyer - directory of 200+ Indian processors who buy RCN. Best resource for Indian buyers at scale
Vietnam Cashew Processing JSC,cashew,processor,Vietnam,Dong Nai Province,vietnamcashewco.com,,,export@vietnamcashewco.com,+84 946 416 776,,web research,Tier 1,HACCP and ISO 22000 certified. 300 MT/month. customercare@vietnamcashewco.com
SVC Group,cashew,processor,Vietnam,Binh Phuoc Province,svc.vn,,,,,,web research,Tier 1,Major Vietnamese processor. BRC certified. 700+ MT kernels/month. Exports to 66+ countries
Hoang Ha Binh Phuoc,cashew,processor,Vietnam,Binh Phuoc Province,hoanghabp.com,,,,,,web research,Tier 2,"Established regional processor, 15+ years"
CPT Corp,cashew,processor,Vietnam,,cptcorp.vn,,,,,,web research,Tier 2,Modern facility with sustainable processing focus
CocoUrth,hookah charcoal,OEM buyer,USA,,cocourth.com,,,info@cocourth.com,,,web research,Tier 1,"Premium coconut shell hookah coals. Cubes, flats, hexagons. CocoUrth Germany is separate entity. Lounge box 10kg format"
Titanium Charcoal (Prime Hookah Inc.),hookah charcoal,OEM buyer,USA,"Bayonne, NJ",primehookah.com,,,sales@primehookah.com,877-741-7510,,ImportYeti,Tier 1,"168 shipments on Panjiva. Own brand coconut shell coals. 460 Broadway, Bayonne NJ 07002. Also 201-250-8011"
BLACKCOCO's GmbH,hookah charcoal,OEM buyer,Germany,Heilbronn,blackcocos.com,,,hello@blackcocos.com,,,web research,Tier 1,Premium brand sold in 11+ countries. Sources from Indonesia. sales@blackcocos.us for US wholesale
Prestige Bubbles (Prestige Coco Coals),hookah charcoal,OEM buyer,USA,,prestigebubbles.com,,,info@prestigebubbles.com,(888) 512-6762,,web research,Tier 1,Private label coconut charcoal line. Wholesales to lounges and smoke shops
Naara Charcoal (Haddad Trading Group),hookah charcoal,OEM buyer,Australia,"Footscray, VIC",naaracharcoal.com.au,,,info@naaracharcoal.com.au,03-9303-70-36,,web research,Tier 1,"Est. 2018. Distributor network. 36-38 Roberts St West, Footscray VIC 3012"
M. Rosenfeld,hookah charcoal,OEM buyer,USA,,,,,,,,web research,Tier 2,Amazon private label seller. Premium 25mm coconut hookah charcoal cubes
Al Sultan Coal,hookah charcoal,distributor,UAE,Dubai,alsultancoal.com,,,,,,web research,Tier 2,"Active since 2005. Coconut charcoal A/B grade blends, shisha, BBQ. GCC export"
Luluah Charcoal,hookah charcoal,distributor,UAE,,luluahcharcoal.com,,,,,,web research,Tier 2,"Wholesale supplier to UAE, Saudi Arabia, Qatar, Oman. Container-volume buyer"
Charcoal Express Trading,hookah charcoal,distributor,UAE,,charcoalexpresstrading.com,,,,,,web research,Tier 1,Founded 2023. Newer entrant actively looking for supplier relationships
HookahMarket Dubai,hookah charcoal,distributor,UAE,Dubai,hookahmarket.com,,,,,,web research,Tier 2,"Russian-origin shisha store. Dubai, Sharjah, Ajman, Abu Dhabi"
Zanobia Tobacco,hookah charcoal,distributor,UAE,Sharjah,zanobiatobacco.com,,,,,,web research,Tier 1,17 years in Middle East. Dual presence UAE + Canada (Mississauga ON). Top GCC wholesaler
Kanara Products,hookah charcoal,distributor,Lebanon,Bekaa Valley,kanara.com.lb,,,,,,web research,Tier 2,Lebanese distributor/importer. Re-export market for MENA
ASA Europe GmbH,hookah charcoal,distributor,Germany,Wiesbaden,asa-europe.com,,,,,linkedin.com/company/asa-europe-gmbh,web research,Tier 1,"One of Europe's largest shisha distributors since 1999. Already buys Carbopol. Bismarckring 12, 65183 Wiesbaden"
El-Badia Pro,hookah charcoal,distributor,France,Paris,pro.el-badia.com,,,,,,web research,Tier 1,"Market leader in France since 1991. B2B platform for shisha professionals. 75 Rue Saint Denis, 75001 Paris"
Sunvi GmbH,hookah charcoal,distributor,Germany,,sunvi.de,,,,,,web research,Tier 2,One of Germany's largest vape/shisha wholesalers. Germany-only
Sultan Shisha,hookah charcoal,distributor,Belgium,,sultanshisha.be,,,info@sultanshisha.be,+32 472 58 58 55,,web research,Tier 1,"10+ years. Wholesale to Belgium, France, Netherlands, Germany"
Shisha Wholesalers,hookah charcoal,distributor,USA,"Addison, IL",shishawholesalers.com,,,,(630) 873-2177,,ImportYeti,Tier 1,#1 US hookah wholesale distributor. Documented importer on ImportGenius
Hookah Wholesalers,hookah charcoal,distributor,USA,"Charlotte, NC",hookahwholesalers.com,,,info@hookahwholesalers.com,1-888-346-6524,,web research,Tier 1,"Al Fakher parent company. ~$5.4M revenue. 4026 Shutterfly Rd, Charlotte NC 28217"
GT Hookah Distribution,hookah charcoal,distributor,USA,"Miami, FL",gthookah.com,,,,,linkedin.com/in/gt-hookah-distribution-117a852b1,web research,Tier 1,International wholesale. Miami + Spain + Mexico. 24-48hr ship times
SBK International,hookah charcoal,distributor,USA,"Kennesaw, GA",sbkint.com,,,,770-672-7081,linkedin.com/company/sbk-international,web research,Tier 1,"Since 2010. Premier smoke and vape wholesale. 3042 Matlock Dr, Kennesaw GA 30144"
Hookah Express,hookah charcoal,distributor,USA,"Doral, FL",thehookahexpress.com,,,sales@thehookahexpress.com,(786) 464-1348,,web research,Tier 1,"Family-owned since 2010. Al Fakher and Fumari distributor. 8065 NW 54th St, Doral FL 33166"
Hookah Paradise,hookah charcoal,distributor,USA,New Jersey,hookahparadise.com,,,info@hookahparadise.com,973-546-600,,ImportYeti,Tier 1,America's largest hookah store since 2005. Direct factory importer. Panjiva-listed
Zahrah USA,hookah charcoal,distributor,USA,"Stanton, CA",zahrahusa.com,,,sales@zahrahusa.com,+1-866-952-3331,,web research,Tier 1,"Retail + wholesale. WhatsApp: +1 (949) 690-3577. 10543 Dale Ave, Stanton CA 90680"
SouthSmoke.com / Global Hookah Distributors,hookah charcoal,distributor,USA,North Carolina,southsmoke.com,,,,1-888-577-6653,,web research,Tier 1,Founded 2002. Net 30 credit for wholesale. International shipping
Shisha World Canada,hookah charcoal,distributor,Canada,Toronto,shishaworld.ca,,,,647-308-3242,,web research,Tier 1,"Multi-city Canadian presence. Exclusive distributor for CocoUrth, Starbuzz, Hookah John Titanium"
Fumari Inc.,hookah charcoal,distributor,USA,"San Diego, CA",fumari.com,,,sales@fumari.com,,,web research,Tier 1,"~$10.1M revenue. Premium hookah tobacco + accessories. Started as lounge 1997. 675 Gateway Center Dr Ste A, San Diego CA 92102"
Hookah Franchising / 40 Thieves,hookah charcoal,distributor,USA,,hookahfranchising.com,,,,,,web research,Tier 2,Dozen franchised locations and countless affiliates. Centralized purchasing likely
Cloud 9 by Pasha,hookah charcoal,distributor,USA,"Las Vegas, NV",cloud9lasvegas.com,,,,,,web research,Tier 2,Premium smoke boutique + hookah lounge. High throughput tourism market
Le Jardin Hookah Lounge,hookah charcoal,distributor,USA,DC/Virginia/Maryland,lejardinva.com,,,,,,web research,Tier 2,Multi-location hookah lounge chain in DC metro area
Soex / Afzal,hookah charcoal,manufacturer,India,,soex.com,,,,,,web research,Tier 1,"Major hookah tobacco/charcoal wholesale. 10,000+ lounge clients. Also OEM services"
Global Wholesale Distributors LLC,hookah charcoal,distributor,USA,Virginia,globalnva.com,,,,,,web research,Tier 2,Carries Al Fakher charcoal. US distributor
5Star Hookah Wholesale,hookah charcoal,distributor,USA,,5starhookahwholesale.com,,,,,,web research,Tier 2,Active US wholesale charcoal dealer
Hookah Outlet USA,hookah charcoal,distributor,USA,,hookahoutletusa.com,,,,,,web research,Tier 2,"Wholesale program. Carries 3 Kings, CocoUrth"
TexasHookah.com,hookah charcoal,distributor,USA,Texas,texashookah.com,,,,,,web research,Tier 2,Texas-based hookah wholesale with charcoal program
Kakas Hookahs,hookah charcoal,distributor,UK,,kakashookahs.com,,,,,,web research,Tier 2,Premium UK retailer + charcoal seller
Oz Hookah,hookah charcoal,distributor,Australia,,hookah-shisha.com.au,,,,,,web research,Tier 2,100% Australian-owned hookah wholesaler
World of Shisha,hookah charcoal,distributor,Australia,,worldofshisha.com.au,,,,,,web research,Tier 2,Premium Australian hookah distributor
Shea Butter Wholesale,shea butter,distributor,USA,,sheabutterwholesale.com,,,,,,competitive research,Tier 2,"Niche retailer. USA-focused, no African sourcing story. Potential customer for raw supply"
Bulk Apothecary,shea butter,distributor,USA,,bulkapothecary.com,,,,,,competitive research,Tier 2,"General supplier. Not Africa-origin, cosmetic focus. Potential wholesale customer"
Wholesale Supplies Plus,shea butter,distributor,USA,,wholesalesuppliesplus.com,,,,,,competitive research,Tier 2,"Craft supplier. Refined only, no origin transparency"
Indy Koils,shea butter,manufacturer,USA,,indykoils.com,,,,,,competitive research,Tier 2,B2B manufacturer. Potential wholesale customer
Gombella Integrated Services,hibiscus,distributor,Nigeria,,gombella.com,,,,,,competitive research,Tier 2,Nigerian exporter
Globexia,multi,distributor,Nigeria,,globexia.com,,,,,,competitive research,Tier 2,"Nigerian trader. 200+ products. Oil, gas, minerals, agriculture"
Ajigo Farms,hibiscus,distributor,Nigeria,,,,,,,,competitive research,Tier 2,Nigerian supplier
Vink Corporation,sesame,distributor,Nigeria,,vinkcorporation.com,,,,,,competitive research,Tier 2,Nigerian trader
Gavi Global,sesame,distributor,Nigeria,,gaviglobal.com,,,,,,competitive research,Tier 2,Nigerian exporter. Limited content
True Moringa,moringa,indie brand,Ghana,,truemoringa.com,,,,,,competitive research,Tier 2,Ghana-sourced brand. Only African supplier ranking for moringa
Kany Corp,cocoa,distributor,Ghana,,kanycorp.com,,,,,,competitive research,Tier 2,Trading company. Brochure site
Gyarko Farms,cocoa,distributor,Ghana,,gyarkofarms.com,,,,,,competitive research,Tier 2,Farm/exporter
ACS DMCC,multi,distributor,UAE,Dubai,acsdmcc.com,,,,,,competitive research,Tier 2,Dubai-based sourcer. Mining focused
African Commodities Org,multi,distributor,Cameroon,,africancommodities.org,,,,,,competitive research,Tier 3,"WordPress, thin content"
Faral Resources Ltd,cashew,distributor,Nigeria,,faralresourcesltd.com,,,,,,competitive research,Tier 2,Nigerian supplier. Basic product page
Blazing Coco,hookah charcoal,distributor,USA,,blazingcoco.com,,,,,,competitive research,Tier 2,Wholesale brand. Indonesian sourcing
Smoke Bunny Wholesale,hookah charcoal,distributor,USA,,smokebunnywholesale.com,,,,,,competitive research,Tier 2,US distribution only
HookahJohn,hookah charcoal,distributor,USA,,hookahjohn.com,,,,,,competitive research,Tier 2,Retail brand. Consumer-focused
TRAGOA,multi,distributor,Africa,,tragoa.com,,,,,,trade directory,Tier 2,"African B2B marketplace with escrow, logistics, RFQ, verification"
Tridge,multi,distributor,Global,,tridge.com,,,,,,trade directory,Tier 2,Global food sourcing & data hub. AI-powered market intelligence
Tradologie,multi,distributor,Global,,tradologie.com,,,,,,trade directory,Tier 2,AI-driven B2B platform for agro & industrial trade
